"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","38.32","37.96","38.32","37.70","4.61M","0.79%"
"12/30/2025","38.02","37.64","38.08","37.52","10.16M","0.48%"
"12/29/2025","37.84","38.98","39.38","37.50","12.89M","-2.92%"
"12/24/2025","38.98","39.02","39.38","38.54","3.67M","-0.51%"
"12/23/2025","39.18","39.00","39.20","38.66","3.37M","0.46%"
"12/22/2025","39.00","38.98","39.00","38.50","4.52M","0.62%"
"12/19/2025","38.76","37.66","38.76","37.56","12.97M","2.92%"
"12/18/2025","37.66","37.68","37.96","37.34","7.88M","-0.16%"
"12/17/2025","37.72","37.70","37.96","37.40","11.27M","0.11%"
"12/16/2025","37.68","38.20","38.40","37.56","12.34M","-1.77%"
"12/15/2025","38.36","38.70","39.20","38.30","10.05M","-1.49%"
"12/12/2025","38.94","39.00","39.38","38.94","9.91M","0.41%"
"12/11/2025","38.78","39.58","39.86","38.56","8.54M","-1.67%"
"12/10/2025","39.44","39.44","39.52","39.02","5.71M","-0.15%"
"12/09/2025","39.50","40.00","40.36","39.36","5.82M","-1.40%"
"12/08/2025","40.06","39.88","40.50","39.88","5.08M","0.70%"
"12/05/2025","39.78","40.06","40.20","39.38","9.93M","-1.34%"
"12/04/2025","40.32","40.70","40.70","39.94","7.11M","-0.93%"
"12/03/2025","40.70","40.26","40.94","40.24","9.99M","-0.68%"
"12/02/2025","40.98","40.06","41.16","39.50","14.00M","2.81%"
"12/01/2025","39.86","40.24","40.54","39.62","12.71M","-0.94%"
"11/28/2025","40.24","39.90","40.58","39.70","10.97M","1.36%"
"11/27/2025","39.70","39.00","39.72","38.70","9.88M","1.33%"
"11/26/2025","39.18","39.84","40.14","39.18","6.62M","-0.36%"
"11/25/2025","39.32","40.10","40.24","39.18","12.58M","-0.46%"
"11/24/2025","39.50","38.40","39.52","38.30","25.63M","2.86%"
"11/21/2025","38.40","39.60","39.60","38.26","16.40M","-4.05%"
"11/20/2025","40.02","39.86","40.24","39.82","6.16M","0.40%"
"11/19/2025","39.86","40.26","40.46","39.74","8.68M","-0.99%"
"11/18/2025","40.26","41.00","41.10","40.00","10.07M","-2.61%"
"11/17/2025","41.34","41.20","41.34","40.80","9.59M","0.34%"
"11/14/2025","41.20","41.60","41.60","41.04","6.80M","-1.48%"
"11/13/2025","41.82","42.06","42.30","41.02","11.68M","-1.18%"
"11/12/2025","42.32","40.90","42.70","40.90","23.69M","3.47%"
"11/11/2025","40.90","40.24","40.90","40.10","13.76M","1.64%"
"11/10/2025","40.24","38.78","40.26","38.32","17.47M","3.76%"
"11/07/2025","38.78","38.64","39.08","38.54","10.75M","0.62%"
"11/06/2025","38.54","38.70","39.32","38.14","12.20M","-0.36%"
"11/05/2025","38.68","38.28","38.68","37.62","6.40M","0.57%"
