"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","19.600","19.600","19.730","19.380","7.28M","-0.56%"
"12/30/2025","19.710","19.800","19.870","19.380","13.95M","-1.00%"
"12/29/2025","19.910","20.820","20.820","19.880","16.87M","-4.46%"
"12/24/2025","20.840","20.980","21.160","20.500","7.73M","-0.29%"
"12/23/2025","20.900","20.720","20.940","20.540","5.84M","0.87%"
"12/22/2025","20.720","20.600","20.760","20.360","5.37M","0.97%"
"12/19/2025","20.520","20.100","20.660","20.060","15.78M","2.70%"
"12/18/2025","19.980","19.960","20.200","19.800","6.51M","-0.40%"
"12/17/2025","20.060","20.040","20.380","19.890","11.07M","0.65%"
"12/16/2025","19.930","20.020","20.200","19.850","11.65M","-0.85%"
"12/15/2025","20.100","20.680","20.720","19.950","13.11M","-2.99%"
"12/12/2025","20.720","20.800","20.880","20.520","10.25M","1.97%"
"12/11/2025","20.320","20.940","21.000","20.180","13.56M","-2.31%"
"12/10/2025","20.800","20.260","20.800","20.220","10.13M","1.46%"
"12/09/2025","20.500","21.040","21.140","20.400","15.36M","-2.66%"
"12/08/2025","21.060","21.360","21.480","20.920","12.81M","-1.59%"
"12/05/2025","21.400","21.200","21.440","20.860","11.21M","-0.28%"
"12/04/2025","21.460","21.880","21.880","21.380","12.56M","-1.56%"
"12/03/2025","21.800","21.840","21.900","21.600","7.10M","-0.37%"
"12/02/2025","21.880","21.600","22.000","21.300","23.78M","2.15%"
"12/01/2025","21.420","21.240","21.580","21.080","13.82M","1.04%"
"11/28/2025","21.200","20.780","21.280","20.780","20.36M","2.61%"
"11/27/2025","20.660","20.160","20.680","19.870","16.83M","3.40%"
"11/26/2025","19.980","20.100","20.480","19.930","10.04M","1.16%"
"11/25/2025","19.750","19.750","20.060","19.590","10.49M","0.61%"
"11/24/2025","19.630","19.320","19.640","19.160","19.24M","2.94%"
"11/21/2025","19.070","19.940","19.990","19.000","20.09M","-5.97%"
"11/20/2025","20.280","20.320","20.600","20.200","10.30M","0.10%"
"11/19/2025","20.260","20.620","20.700","20.160","5.86M","-1.75%"
"11/18/2025","20.620","20.860","20.860","20.420","10.33M","-1.53%"
"11/17/2025","20.940","21.000","21.020","20.760","6.46M","-0.66%"
"11/14/2025","21.080","21.320","21.320","20.880","9.05M","-1.13%"
"11/13/2025","21.320","21.320","21.440","20.940","11.10M","-0.28%"
"11/12/2025","21.380","21.160","21.580","21.160","15.11M","1.04%"
"11/11/2025","21.160","21.200","21.220","20.800","11.35M","0.47%"
"11/10/2025","21.060","20.500","21.080","20.340","17.98M","3.54%"
"11/07/2025","20.340","20.440","20.540","20.220","6.08M","-0.49%"
"11/06/2025","20.440","20.140","20.440","20.080","9.24M","1.79%"
"11/05/2025","20.080","19.620","20.120","19.320","11.50M","1.67%"
"11/04/2025","19.750","19.840","20.180","19.700","15.06M","-1.00%"
"11/03/2025","19.950","20.700","20.920","19.890","18.00M","-1.43%"
"10/31/2025","20.240","20.340","20.540","20.080","8.69M","-1.36%"
"10/30/2025","20.520","20.840","20.900","20.100","21.94M","-1.54%"
"10/28/2025","20.840","20.340","21.000","20.160","20.69M","2.46%"
"10/27/2025","20.340","19.860","20.620","19.860","17.75M","2.42%"
"10/24/2025","19.860","19.440","20.060","19.440","21.44M","3.28%"
"10/23/2025","19.230","18.630","19.460","18.540","43.95M","4.40%"
"10/22/2025","18.420","18.660","18.750","18.390","16.14M","-1.39%"
"10/21/2025","18.680","19.080","19.120","18.590","15.16M","-0.95%"
"10/20/2025","18.860","18.190","19.050","18.190","23.24M","4.37%"
"10/17/2025","18.070","18.020","18.400","17.900","22.14M","-0.88%"
"10/16/2025","18.230","18.580","18.600","18.100","13.63M","-1.88%"
"10/15/2025","18.580","18.280","18.680","18.230","23.24M","2.48%"
"10/14/2025","18.130","19.070","19.180","17.890","36.70M","-4.73%"
"10/13/2025","19.030","19.280","19.660","18.810","52.48M","-5.51%"
"10/10/2025","20.140","21.060","21.060","19.960","43.98M","-5.53%"
"10/09/2025","21.320","21.080","21.880","21.040","28.87M","1.04%"
"10/08/2025","21.100","20.760","21.120","20.300","22.65M","1.64%"
"10/07/2025","20.760","21.280","20.760","20.760","27.08M","0.00%"
"10/06/2025","20.760","21.280","21.280","20.280","27.08M","-2.44%"
"10/03/2025","21.280","21.700","21.780","21.160","12.62M","-2.30%"
"10/02/2025","21.780","21.760","21.920","21.420","17.51M","0.37%"
"09/30/2025","21.700","22.360","22.500","21.360","24.12M","-2.25%"
"09/29/2025","22.200","21.500","22.460","21.500","35.36M","4.62%"
"09/26/2025","21.220","21.340","21.700","20.900","15.38M","-0.56%"
"09/25/2025","21.340","21.360","21.640","21.120","11.49M","1.33%"
"09/24/2025","21.060","21.020","21.100","20.700","10.76M","1.25%"
"09/23/2025","20.800","21.360","21.400","20.700","10.14M","-1.33%"
"09/22/2025","21.080","21.600","22.100","20.940","28.89M","-2.41%"
"09/19/2025","21.600","20.420","21.600","20.360","34.66M","6.19%"
"09/18/2025","20.340","20.480","20.760","20.200","14.84M","-1.26%"
"09/17/2025","20.600","20.380","20.660","20.220","17.55M","1.68%"
"09/16/2025","20.260","21.420","21.420","20.080","27.70M","-3.80%"
"09/15/2025","21.060","20.800","21.180","20.800","11.59M","-0.09%"
"09/12/2025","21.080","21.000","21.100","20.800","19.93M","1.05%"
"09/11/2025","20.860","20.400","20.940","20.160","17.48M","0.97%"
"09/10/2025","20.660","20.140","20.780","20.000","29.09M","3.46%"
"09/09/2025","19.970","19.980","20.280","19.720","15.57M","0.25%"
"09/08/2025","19.920","19.710","20.260","19.650","16.92M","1.07%"
"09/05/2025","19.710","19.540","19.760","19.430","21.36M","0.87%"
"09/04/2025","19.540","19.950","20.200","19.350","18.28M","-2.40%"
"09/03/2025","20.020","20.440","20.680","19.900","12.52M","-0.69%"
"09/02/2025","20.160","20.200","20.480","20.080","16.17M","-0.20%"
"09/01/2025","20.200","20.420","20.480","20.080","13.42M","-0.69%"
"08/29/2025","20.340","20.360","20.400","20.020","11.41M","1.19%"
