Date,Group,n_stocks,mean_daily_return,mean_market_adjusted_return,std_market_adjusted_return
2019-03-07,Control Big,8,-0.009412683091620938,-0.0010471645412434252,0.010671564197036756
2019-03-07,Control Small,7,-0.011741102029928499,-0.0033755834795509143,0.010405306365773208
2019-03-07,Treatment Big,8,-0.005468707057160924,0.0028968114932166507,0.01974810197601068
2019-03-07,Treatment Small,7,-0.013927462757858685,-0.005561944207481129,0.018797237722769217
2019-03-08,Control Big,8,-0.002903460375465325,-0.000903781571244125,0.0023432138343655743
2019-03-08,Control Small,7,-0.0010404834479783144,0.0009591953562429434,0.009910508934798976
2019-03-08,Treatment Big,8,-0.004019495722156733,-0.002019816917935512,0.012535927513675202
2019-03-08,Treatment Small,7,-0.005690945422950214,-0.003691266618728986,0.011709409713804016
2019-03-11,Control Big,8,0.018593753657556524,0.004092758385470976,0.0075163269684284835
2019-03-11,Control Small,7,0.011582112440465342,-0.002918882831620186,0.00888446186201341
2019-03-11,Treatment Big,8,0.0007881502247797999,-0.013712845047305737,0.024539839825530638
2019-03-11,Treatment Small,7,-0.0030736776887431427,-0.017574672960828715,0.011264676348789327
2019-03-12,Control Big,8,-0.004004615383767038,-0.007775617655154725,0.006372906227716134
2019-03-12,Control Small,7,-0.002664272618449357,-0.006435274889837057,0.009871071050317402
2019-03-12,Treatment Big,8,-0.01828646182748865,-0.02205746409887635,0.024589377456754026
2019-03-12,Treatment Small,7,0.001501433952498771,-0.002269568318888943,0.02275337692880195
2019-03-13,Control Big,8,0.01278847990917915,0.006169140385856663,0.004956518161635945
2019-03-13,Control Small,7,0.015597585908356642,0.008978246385034156,0.00953181366459019
2019-03-13,Treatment Big,8,0.01250591179644795,0.005886572273125487,0.010698212117029472
2019-03-13,Treatment Small,7,0.0033924838043217992,-0.0032268557190006856,0.020295191364206686
