Date,Group,n_stocks,AAR,t_stat_vs_0,p_value_vs_0
2019-03-07,Control Big,8,-0.0010471645412434252,-0.27754399803430263,0.7893804868465929
2019-03-07,Control Small,7,-0.003375583479550914,-0.8583076848180964,0.42367848054701684
2019-03-07,Treatment Big,8,0.00289681149321665,0.41489659171517207,0.6906381670751895
2019-03-07,Treatment Small,7,-0.005561944207481129,-0.7828555129239171,0.4634811507691299
2019-03-08,Control Big,8,-0.0009037815712441251,-1.0909291646635948,0.3114252544044814
2019-03-08,Control Small,7,0.0009591953562429428,0.25607084237983274,0.8064494442810423
2019-03-08,Treatment Big,8,-0.0020198169179355126,-0.4557225583410526,0.6623899138829412
2019-03-08,Treatment Small,7,-0.003691266618728986,-0.8340449036024425,0.43619560321007683
2019-03-11,Control Big,8,0.004092758385470975,1.5401231054905609,0.16742668146857512
2019-03-11,Control Small,7,-0.002918882831620186,-0.8692296954554001,0.4181312818887462
2019-03-11,Treatment Big,8,-0.013712845047305735,-1.58052306636856,0.157999143327859
2019-03-11,Treatment Small,7,-0.01757467296082871,-4.127789613115816,0.006162231103714953
2019-03-12,Control Big,8,-0.007775617655154725,-3.450979365088911,0.010677148366467932
2019-03-12,Control Small,7,-0.006435274889837057,-1.7248520337922157,0.1353141845205411
2019-03-12,Treatment Big,8,-0.02205746409887635,-2.537190291624927,0.03882299982711281
2019-03-12,Treatment Small,7,-0.002269568318888943,-0.26390427117875953,0.8006837967072644
2019-03-13,Control Big,8,0.006169140385856663,3.5204075592381106,0.009722324224253205
2019-03-13,Control Small,7,0.008978246385034156,2.4920973048927433,0.04702850612523909
2019-03-13,Treatment Big,8,0.005886572273125487,1.5563105785296423,0.16358867058762258
2019-03-13,Treatment Small,7,-0.0032268557190006856,-0.42066406746079255,0.6886511165814362
