Period,Ticker,Name,Group,n_months,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,0293.HK,Cathay Pacific Airways,Control Big,59,0.0011230351432956127,0.10166960505606573,-0.006121837737007868,0.5757431098274518,0.6408494766826439,0.018142071898557852,0.09406895813114524
After,9201.T,Japan Airlines,Control Big,59,0.0004585344951720428,0.09204336539781177,-0.0062989881479722926,0.5370138531858363,0.5948924041812536,0.014765143691587563,0.0998520781421004
After,9202.T,ANA Holdings,Control Big,59,-0.0007846224303484164,0.07209016714757827,-0.005256446643962703,0.35537158786423584,0.5770373143767769,0.0409370244298053,0.07128275052566158
After,C6L.SI,Singapore Airlines,Control Big,59,0.0038059775152946298,0.0795509029351766,-0.006745596354880902,0.8385234708679199,0.4470113642008623,2.3426213724993342e-06,0.32592023758446853
After,DAL,Delta Air Lines,Control Big,59,0.005394833387550569,0.12728802728065775,-0.012026729362291162,1.3844749081681342,0.38964704143496887,9.193175269558669e-07,0.3470293246604985
After,IAG.L,International Airlines Group,Control Big,59,-0.0007800368295869801,0.18049093218635523,-0.024783784202597994,1.9075548168170173,0.21949489603086783,2.171663980663688e-06,0.3276531794113803
After,LTM.SN,LATAM Airlines Group,Control Big,59,0.026437295615297816,0.4939567139936699,0.042071922301657017,-1.2424688104422146,0.5264154979317676,0.30355390689669676,0.01855941631480118
After,QAN.AX,Qantas Airways,Control Big,59,0.005876665774777166,0.10631631107893628,-0.006578923073007822,0.9898337177802158,0.5973039741646555,4.661838167059921e-05,0.25427039468140766
After,AF.PA,Air France-KLM,Control Small,59,-0.01601561719041423,0.1576622012896655,-0.03364867558081088,1.4012822641866347,0.07632749308732519,0.00011353874055842396,0.23172195670554885
After,AIR.NZ,Air New Zealand,Control Small,59,-0.0038050822488606734,0.13637610346717313,-0.020185309961230375,1.3017210099629088,0.20505817626389566,2.763368761589653e-05,0.2672577957245943
After,ALGT,Allegiant Travel,Control Small,59,0.00021470731074657579,0.1476327210467645,-0.01911856885549178,1.536396942638524,0.24994918711587608,3.3483740314262163e-06,0.3176967179132071
After,CHR.TO,Chorus Aviation,Control Small,59,-0.008294184908666196,0.15215391510133472,-0.026369345239631876,1.4364156820297507,0.1404103945198404,3.4967914990821675e-05,0.2614358378020214
After,EZJ.L,easyJet,Control Small,59,0.0034592358050369292,0.17827364198586176,-0.023412764657139415,2.135492143062977,0.20590987612061631,2.7452257402317958e-08,0.4209134373921761
After,LHA.DE,Lufthansa Group,Control Small,59,-0.005687505372761537,0.11283211098879511,-0.019753827916991776,1.1178371821358808,0.12954927953476203,1.1830094170894529e-05,0.2879140005265647
After,WIZZ.L,Wizz Air Holdings,Control Small,59,0.00444934245978413,0.1570627950597491,-0.021574344926070948,2.068077515265113,0.15178747207731627,2.3361869046653413e-10,0.5085786100885481
