Ticker,Name,Group,mean_return_before,mean_return_after,delta_mean_return,beta_before,beta_after,delta_beta,alpha_before,alpha_after,delta_alpha
ALGN,Align Technology,Control Big,0.028656961193386135,-0.0070175598616204265,-0.03567452105500656,1.6504967876552945,2.060118306445609,0.4096215187903145,0.00996009133309007,-0.041078336859232185,-0.05103842819232225
BSX,Boston Scientific,Control Big,0.012176634008462322,0.007163328477865684,-0.005013305530596638,0.7536314657007108,1.0556030844649602,0.3019716187642494,0.0036394774734002395,-0.010289388264400406,-0.013928865737800646
COO,Cooper Companies,Control Big,0.01128693542593577,-0.0009590643296668624,-0.012245999755602633,0.8982834236667089,0.9816159300136081,0.08333250634689926,0.001111157808205986,-0.017188521242353882,-0.018299679050559868
DHR,Danaher,Control Big,0.016992230423236263,-0.002058963255061787,-0.01905119367829805,0.7823980972610628,0.9793766695049401,0.19697857224387727,0.008129204749484703,-0.018251397559587587,-0.02638060230907229
IDXX,IDEXX Laboratories,Control Big,0.02231834470328028,0.013939697983344393,-0.008378646719935889,1.2120422038082626,1.6479883971632676,0.43594619335500506,0.008588299592448874,-0.01330716697329768,-0.021895466565746556
JNJ,Johnson & Johnson,Control Big,0.007926233055195402,0.018005777472881023,0.010079544417685622,0.520820814593556,0.28120166518077416,-0.23961914941278184,0.002026361535407371,0.013356555542707224,0.011330194007299853
TMO,Thermo Fisher Scientific,Control Big,0.018665475892036473,0.0026773500426165568,-0.015988125849419915,0.8059463227275643,1.1310493094874459,0.3251029867598816,0.009535695317408336,-0.016022749938642347,-0.025558445256050683
ZTS,Zoetis,Control Big,0.018281631898185515,-0.009053850570926534,-0.02733548246911205,0.7241647808771513,1.057009568178775,0.3328447873016237,0.010078274723098635,-0.026529821282625893,-0.036608096005724525
CERT,Certara,Control Small,-0.008141428522412633,-0.02016151975223193,-0.012020091229819296,1.4362613614361068,1.7363953304085173,0.3001339689724105,-0.020207807904454346,-0.048870052628084214,-0.028662244723629868
CSTL,Castle Biosciences,Control Small,0.019271883977540743,0.031094783733445083,0.01182289975590434,0.7835629182485869,1.3007088670206368,0.5171459487720499,0.010376665421503081,0.009589633024482232,-0.0007870323970208485
GH,Guardant Health,Control Small,0.017846070731017936,0.0627288971026659,0.04488282637164796,0.8564769655079475,2.155411810668761,1.2989348451608134,0.00780426408001108,0.027092593696444255,0.019288329616433175
HAE,Haemonetics,Control Small,0.016411196055922894,-0.0034474739485182014,-0.019858670004441095,0.42273457547801807,0.44052866122541706,0.01779408574739899,0.011622447963666254,-0.010730914149068425,-0.022353362112734677
NEO,NeoGenomics,Control Small,0.020418425053766315,0.008533641296883034,-0.011884783756883281,0.9710793727896841,2.4244269869056363,1.4533476141159523,0.009418013060926642,-0.031550399842705225,-0.040968412903631866
STAA,STAAR Surgical,Control Small,0.03558808660198606,-2.8568664323106702e-05,-0.03561665526630917,1.163058859772184,0.16456764389470324,-0.9984912158774808,0.022412926066280488,-0.0027494327050834135,-0.025162358771363903
XRAY,Dentsply Sirona,Control Small,-0.0009375624645303573,-0.026953555349029122,-0.026015992884498764,0.955986638796119,1.0409662736205574,0.08497963482443838,-0.011767003580344193,-0.04416427572217037,-0.032397272141826174
DVA,DaVita,Treatment Big,0.009974943479202341,0.02233380882862666,0.01235886534942432,0.9399069388404955,1.4357331065103798,0.4958261676698843,-0.0006723463839029086,-0.0014037527550626611,-0.0007314063711597525
DXCM,DexCom,Treatment Big,0.031680376825637284,-0.0025690340346380797,-0.034249410860275366,1.0240716903021996,1.830505532686959,0.8064338423847595,0.02007966650350821,-0.03283352930496888,-0.05291319580847709
INSP,Inspire Medical Systems,Treatment Big,0.04294895769790749,-0.02079552439448495,-0.06374448209239245,1.426924712604099,0.34523041720075237,-1.0816942954033466,0.027288488956232645,-0.026503359821351862,-0.05379184877758451
ISRG,Intuitive Surgical,Treatment Big,0.022022082941546412,0.017733363962082645,-0.004288718979463767,1.2863958083240357,1.5033350452084895,0.21693923688445382,0.0074497582954423346,-0.0071218880723921355,-0.01457164636783447
MASI,Masimo,Treatment Big,0.010883450918699288,0.028429264967698802,0.017545814048999513,0.8466088130523847,1.0557234479516342,0.20911463489924953,0.0012930446127852736,0.010974558206769503,0.009681513593984229
PEN,Penumbra,Treatment Big,0.024510445405519443,0.015763433171719705,-0.008747012233799738,0.5446166079991969,0.565286995530536,0.020670387531339096,0.01834101452890298,0.006417312497885541,-0.01192370203101744
PODD,Insulet,Treatment Big,0.025358739228222377,0.015204786533865226,-0.01015395269435715,0.7884010528421405,2.1704312740214755,1.3820302211793352,0.016427711919983545,-0.02067983979161792,-0.03710755171160146
RMD,ResMed,Treatment Big,0.015317328006451488,0.017153296756625212,0.0018359687501737238,0.5500303868817645,0.7371178540209612,0.18708746713919666,0.009086569704070332,0.004966226349933999,-0.004120343354136333
ANGO,AngioDynamics,Treatment Small,-0.0024536385061774838,0.02030400999879395,0.022757648504971435,0.5257378195945924,0.37487143147266533,-0.1508663881219271,-0.008409209984483702,0.014106107582113944,0.022515317566597644
EW,Edwards Lifesciences,Treatment Small,0.014765618618446667,0.008438398336205936,-0.0063272202822407305,0.9466315327874917,0.8061634343244748,-0.1404680984630169,0.004042152382972381,-0.004890230837295226,-0.008932383220267607
