Period,Ticker,Name,Group,n_months,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,0293.HK,Cathay Pacific Airways,Control Big,59,0.0011230293606228126,0.10166959641077153,-0.006121841739357318,0.5757426331444455,0.6408492598884965,0.01814214718585761,0.09406884161534701
After,0670.HK,China Eastern Airlines,Control Big,59,-0.012778511603768621,0.09488203925055091,-0.01978120473030162,0.5564969927185698,0.10859933680103817,0.014219756072811509,0.1009087529200039
After,1055.HK,China Southern Airlines,Control Big,59,-0.009767822922230194,0.1003038610948658,-0.017939432822554127,0.6493896352489448,0.1622564548667801,0.006473108118198332,0.12295512029285649
After,9201.T,Japan Airlines,Control Big,59,0.0004585341039308621,0.09204335910985675,-0.00629898084172103,0.5370129288198426,0.5948928763656601,0.014765304313260404,0.0998517727162711
After,9202.T,ANA Holdings,Control Big,59,-0.0007846231245481329,0.07209017352393944,-0.005256435542314508,0.3553704435597071,0.5770382521548553,0.04093769178422963,0.07128229647345785
After,C6L.SI,Singapore Airlines,Control Big,59,0.0038059782793574523,0.07955089248149934,-0.006745586166960256,0.838522233767959,0.44701226509626246,2.3427027624359337e-06,0.32591944212907287
After,DAL,Delta Air Lines,Control Big,59,0.0053948314666358915,0.12728799589371806,-0.012026728316024218,1.3844738663162153,0.38964707322162007,9.193284964753058e-07,0.3470290592920706
After,LTM.SN,LATAM Airlines Group,Control Big,59,0.026437295615297816,0.4939567139936699,0.04207187448042589,-1.2424642867611577,0.5264160035873275,0.3035556237104773,0.018559285757654198
After,AF.PA,Air France-KLM,Control Small,59,-0.01601561719041423,0.1576622012896655,-0.033648653390616484,1.401279684915804,0.07632783662772587,0.00011354226428537493,0.23172116094959216
After,AIR.NZ,Air New Zealand,Control Small,59,-0.0038050807204701442,0.13637609886273072,-0.02018532482646009,1.3017215548744958,0.2050577491235914,2.7633342476366776e-05,0.26725810359047075
After,EZJ.L,easyJet,Control Small,59,0.003459235882137788,0.1782736424776171,-0.023412765771102725,2.135490994414106,0.20591000229523715,2.7452742355485714e-08,0.4209130863140367
After,IAG.L,International Airlines Group,Control Small,59,-0.0007800354038824595,0.18049094838255425,-0.024783784627994847,1.907553853327674,0.21949504437204398,2.17169333881187e-06,0.32765287061447523
After,LHA.DE,Lufthansa Group,Control Small,59,-0.005687505819364224,0.11283210613495624,-0.019753831694257727,1.1178367960061073,0.12954922766364121,1.1830144827143825e-05,0.28791389756421704
After,QAN.AX,Qantas Airways,Control Small,59,0.005876664146611053,0.10631631070917823,-0.006578930218756467,0.9898335799674175,0.5973035859225155,4.661839318374146e-05,0.2542703885025126
After,WIZZ.L,Wizz Air Holdings,Control Small,59,0.00444934245978413,0.1570627950597491,-0.021574351581058283,2.0680768400780956,0.15178744206733627,2.3362153087695146e-10,0.5085784037272452
After,AAL,American Airlines Group,Treatment Big,59,-0.0038985478554051664,0.13551953701994288,-0.022895623685667114,1.5096785449488133,0.12180393316830268,4.2406921100113064e-07,0.3640293190690508
After,AC.TO,Air Canada,Treatment Big,59,0.004552815358126263,0.1599089211930506,-0.01660370789174054,1.681287663502171,0.3529884866853603,2.5172465711373602e-06,0.3242723222588132
After,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,59,0.0056534013675193905,0.20866033602372497,-0.023897981682824906,2.348418744194361,0.28863343183151025,2.990057808698475e-07,0.37157157826537246
After,LUV,Southwest Airlines,Treatment Big,59,-0.0038073250363532987,0.11028831027826355,-0.017866767151718494,1.117289750547041,0.1562977428482682,6.818931296045395e-06,0.3010536378327282
After,NAS.OL,Norwegian Air Shuttle,Treatment Big,59,-0.03808411949017897,0.28828223962535626,-0.050456080028445496,0.9831872836882173,0.19200922195940084,0.1613468175921004,0.03411991548639903
After,RYAAY,Ryanair Holdings,Treatment Big,59,0.017670155788044036,0.11813531627789348,-0.002163994172052277,1.5761999857028468,0.8449421121179008,1.0357943258595615e-10,0.5221969820671155
After,THYAO.IS,Turkish Airlines,Treatment Big,59,0.06333022152053627,0.15354369807236598,0.05445894937598962,0.7049910914020647,0.008759163562510096,0.057536190525381704,0.06184071202810315
After,UAL,United Airlines Holdings,Treatment Big,59,-6.81585523315448e-05,0.14093468368999465,-0.019002902297125705,1.5047250766922555,0.22551142220982243,1.6149970042819238e-06,0.3343872910343688
After,AAVVF,Avianca Holdings SA,Treatment Small,59,0.04344142467713267,0.19894425978558714,0.021538745038995933,1.7405839626069632,0.36587651443904234,0.00015007108769341917,0.22454239243507101
After,ALGT,Allegiant Travel,Treatment Small,59,0.00021470904865541335,0.14763274730885173,-0.019118575477841685,1.5363967125166282,0.24994916389630326,3.3483927872254312e-06,0.3176965882496865
After,ALK,Alaska Air Group,Treatment Small,59,0.002417163059474669,0.12638160604486262,-0.017701727182720346,1.5988280100686971,0.1594181978586647,2.150721936117627e-09,0.4694690559721494
After,CHR.TO,Chorus Aviation,Treatment Small,59,-0.008294183050700425,0.15215392713160866,-0.02636935131520809,1.4364154762070371,0.140410358510207,3.4967987750931495e-05,0.2614357861655753
After,CPA,Copa Holdings,Treatment Small,59,0.01444879175306273,0.13888944998572222,-0.0025897357477582634,1.354034675406941,0.8712677458942211,1.724610169096644e-05,0.2787996808691795
After,JET2.L,Jet2 plc,Treatment Small,59,0.023792927419570845,0.18023428535667232,0.002096433368879774,1.7241986009636436,0.92004386064155,2.6323051062658386e-05,0.26845467711852056
After,TUI1.DE,TUI Group,Treatment Small,59,-0.0049727600743769505,0.1840848830871761,-0.0272054271625106,1.7668077339817714,0.20483283449037343,2.4501941257352305e-05,0.2702175469242992
Before,0293.HK,Cathay Pacific Airways,Control Big,60,0.0032158946135071253,0.07176217210066889,-0.005307891956779039,0.9360510317452605,0.545757014700456,0.0005357845862389053,0.18813962503422466
