Date,Group,n_stocks,mean_daily_return,mean_market_adjusted_return,std_market_adjusted_return
2023-08-04,Control Big,8,-0.007253398651582038,-0.002730519751979612,0.004988923185246935
2023-08-04,Control Small,7,0.008579366786364473,0.013102245685966915,0.028179716210557676
2023-08-04,Treatment Big,8,-0.021474853941350135,-0.016951975041747676,0.0724518680180706
2023-08-04,Treatment Small,7,0.02946049999129383,0.03398337889089625,0.07018580235746952
2023-08-07,Control Big,8,0.006938064579966525,-0.0017904854688117874,0.008002590061614483
2023-08-07,Control Small,7,-0.012969508764821986,-0.02169805881360033,0.015535115675244392
2023-08-07,Treatment Big,8,0.007192680534607513,-0.0015358695141708375,0.026945617414933305
2023-08-07,Treatment Small,7,-0.019951574970296728,-0.02868012501907507,0.03836992856061128
2023-08-08,Control Big,8,0.005844020777585612,0.010192508565037388,0.018868545398773258
2023-08-08,Control Small,7,-0.006318734660810786,-0.001970246873359028,0.014553370457858641
2023-08-08,Treatment Big,8,-0.046597891142311484,-0.0422494033548597,0.03208334645498663
2023-08-08,Treatment Small,7,-0.02112243607847264,-0.016773948291020857,0.022448435733571758
2023-08-09,Control Big,8,-0.0023278553998301497,0.004357385840567525,0.011520401180958836
2023-08-09,Control Small,7,-0.016784676563548342,-0.010099435323150644,0.014527410423255931
2023-08-09,Treatment Big,8,-0.010615368396035113,-0.003930127155637388,0.013876612933404106
2023-08-09,Treatment Small,7,-0.002333632206230943,0.004351609034166729,0.013164593599195537
2023-08-10,Control Big,8,-0.007144925772171426,-0.0075036589655462,0.009058836075223316
2023-08-10,Control Small,7,-0.023815342776957026,-0.0241740759703318,0.02965691211862801
2023-08-10,Treatment Big,8,0.003341086740318775,0.0029823535469440123,0.019248289041922346
2023-08-10,Treatment Small,7,0.0001624371475695854,-0.00019629604580518562,0.013951503519953811
