ticker,name,group
BA,Boeing,Treatment Big
GE,General Electric,Treatment Big
LUV,Southwest Airlines,Treatment Big
AAL,American Airlines,Treatment Big
UAL,United Airlines,Treatment Big
TDG,TransDigm Group,Treatment Big
HEI,HEICO,Treatment Big
RYAAY,Ryanair Holdings ADR,Treatment Big
ATRO,Astronics,Treatment Small
ALK,Alaska Air Group,Treatment Small
HXL,Hexcel,Treatment Small
WWD,Woodward,Treatment Small
ATI,ATI,Treatment Small
MOG-A,Moog Class A,Treatment Small
AER,AerCap,Treatment Small
DAL,Delta Air Lines,Control Big
LMT,Lockheed Martin,Control Big
NOC,Northrop Grumman,Control Big
GD,General Dynamics,Control Big
HON,Honeywell,Control Big
FDX,FedEx,Control Big
UPS,United Parcel Service,Control Big
CSX,CSX,Control Big
JBLU,JetBlue Airways,Control Small
VLRS,Controladora Vuela ADR,Control Small
SKYW,SkyWest,Control Small
ALGT,Allegiant Travel,Control Small
HII,Huntington Ingalls Industries,Control Small
TXT,Textron,Control Small
LHX,L3Harris Technologies,Control Small
SPY,SPDR S&P 500 ETF Trust,Benchmark
