ticker,name,group
ISRG,Intuitive Surgical,Treatment Big
DXCM,DexCom,Treatment Big
RMD,ResMed,Treatment Big
PODD,Insulet,Treatment Big
MASI,Masimo,Treatment Big
MDT,Medtronic,Treatment Big
PEN,Penumbra,Treatment Big
INSP,Inspire Medical Systems,Treatment Big
TNDM,Tandem Diabetes Care,Treatment Small
OM,Outset Medical,Treatment Small
CNMD,CONMED,Treatment Small
EW,Edwards Lifesciences,Treatment Small
MMSI,Merit Medical Systems,Treatment Small
LMAT,LeMaitre Vascular,Treatment Small
ANGO,AngioDynamics,Treatment Small
JNJ,Johnson & Johnson,Control Big
TMO,Thermo Fisher Scientific,Control Big
DHR,Danaher,Control Big
ZTS,Zoetis,Control Big
IDXX,IDEXX Laboratories,Control Big
COO,Cooper Companies,Control Big
ALGN,Align Technology,Control Big
BSX,Boston Scientific,Control Big
XRAY,Dentsply Sirona,Control Small
HAE,Haemonetics,Control Small
CERT,Certara,Control Small
NEO,NeoGenomics,Control Small
CSTL,Castle Biosciences,Control Small
GH,Guardant Health,Control Small
STAA,STAAR Surgical,Control Small
SPY,SPDR S&P 500 ETF Trust,Benchmark
