Treatment Group,Control Group
Intuitive Surgical (ISRG),Johnson & Johnson (JNJ)
DexCom (DXCM),Thermo Fisher Scientific (TMO)
ResMed (RMD),Danaher (DHR)
Insulet (PODD),Zoetis (ZTS)
Masimo (MASI),IDEXX Laboratories (IDXX)
Medtronic (MDT),Cooper Companies (COO)
Penumbra (PEN),Align Technology (ALGN)
Inspire Medical Systems (INSP),Boston Scientific (BSX)
Tandem Diabetes Care (TNDM),Dentsply Sirona (XRAY)
Outset Medical (OM),Haemonetics (HAE)
CONMED (CNMD),Certara (CERT)
Edwards Lifesciences (EW),NeoGenomics (NEO)
Merit Medical Systems (MMSI),Castle Biosciences (CSTL)
LeMaitre Vascular (LMAT),Guardant Health (GH)
AngioDynamics (ANGO),STAAR Surgical (STAA)
