Ticker,Name,Group,mean_post_ar,cum_contribution_post,mean_contribution_post,n_days,label,mean_post_ar_pct,cum_contribution_post_pct,mean_contribution_post_pct
CERT,Certara,Control Small,-0.047840952389881904,-0.006378793651984254,-0.003189396825992127,2,CERT (Control Small),-4.784095238988191,-0.6378793651984254,-0.3189396825992127
NEO,NeoGenomics,Control Small,-0.037109472909123,-0.0049479297212164,-0.0024739648606082,2,NEO (Control Small),-3.7109472909122996,-0.49479297212164003,-0.24739648606082001
STAA,STAAR Surgical,Control Small,-0.0260077675218808,-0.0034677023362507733,-0.0017338511681253867,2,STAA (Control Small),-2.60077675218808,-0.3467702336250773,-0.17338511681253865
ALGN,Align Technology,Control Big,-0.0116490312723756,-0.0015532041696500799,-0.0007766020848250399,2,ALGN (Control Big),-1.16490312723756,-0.15532041696500798,-0.07766020848250399
XRAY,Dentsply Sirona,Control Small,-0.00761110343193755,-0.0010148137909250067,-0.0005074068954625034,2,XRAY (Control Small),-0.761110343193755,-0.10148137909250067,-0.050740689546250335
GH,Guardant Health,Control Small,-0.007205421739319399,-0.00096072289857592,-0.00048036144928796,2,GH (Control Small),-0.7205421739319399,-0.09607228985759199,-0.048036144928795994
COO,Cooper Companies,Control Big,-0.0063386365728396,-0.00084515154304528,-0.00042257577152264,2,COO (Control Big),-0.63386365728396,-0.084515154304528,-0.042257577152264
TMO,Thermo Fisher Scientific,Control Big,-0.004487709153207249,-0.0005983612204276332,-0.0002991806102138166,2,TMO (Control Big),-0.44877091532072494,-0.059836122042763326,-0.029918061021381663
CSTL,Castle Biosciences,Control Small,-0.0030559633949822,-0.00040746178599762665,-0.00020373089299881333,2,CSTL (Control Small),-0.30559633949821996,-0.040746178599762664,-0.020373089299881332
DHR,Danaher,Control Big,-6.85814694847001e-05,-9.144195931293372e-06,-4.572097965646686e-06,2,DHR (Control Big),-0.00685814694847001,-0.0009144195931293372,-0.0004572097965646686
JNJ,Johnson & Johnson,Control Big,0.00024546549170200013,3.272873222693337e-05,1.6364366113466686e-05,2,JNJ (Control Big),0.024546549170200015,0.0032728732226933372,0.0016364366113466686
IDXX,IDEXX Laboratories,Control Big,0.0011280269846562496,0.00015040359795416656,7.520179897708328e-05,2,IDXX (Control Big),0.11280269846562496,0.015040359795416656,0.007520179897708328
ZTS,Zoetis,Control Big,0.0026351587304321,0.0003513544973909467,0.00017567724869547335,2,ZTS (Control Big),0.26351587304321,0.03513544973909467,0.017567724869547333
BSX,Boston Scientific,Control Big,0.0059496492616189,0.0007932865682158533,0.00039664328410792666,2,BSX (Control Big),0.59496492616189,0.07932865682158532,0.03966432841079266
HAE,Haemonetics,Control Small,0.0088729492870368,0.00118305990493824,0.00059152995246912,2,HAE (Control Small),0.88729492870368,0.118305990493824,0.059152995246912
