Treatment,AVG5A,SD5A,SR5A,Control,AVG5A.1,SD5A.1,SR5A.1
1 LMAT,35.02%,35.34%,0.99,1 GH,74.53%,89.01%,0.84
2 MASI,34.10%,37.05%,0.92,2 CSTL,36.12%,73.46%,0.49
3 TNDM,25.98%,77.51%,0.34,3 JNJ,21.39%,17.10%,1.25
4 ANGO,23.34%,47.75%,0.49,4 IDXX,16.89%,34.44%,0.49
5 ISRG,21.35%,29.36%,0.73,5 NEO,10.53%,79.81%,0.13
6 RMD,20.81%,25.08%,0.83,6 BSX,8.76%,24.31%,0.36
7 PEN,18.94%,38.59%,0.49,7 TMO,3.68%,28.14%,0.13
8 PODD,17.96%,45.82%,0.39,8 COO,-0.64%,26.54%,-0.02
9 MDT,10.71%,24.16%,0.44,9 STAA,-1.59%,60.00%,-0.03
10 EW,9.79%,29.10%,0.34,10 DHR,-2.19%,21.81%,-0.10
11 MMSI,2.14%,22.05%,0.10,11 HAE,-4.26%,54.03%,-0.08
12 DXCM,-2.44%,45.84%,-0.05,12 ALGN,-7.84%,50.27%,-0.16
13 INSP,-23.33%,74.88%,-0.31,13 ZTS,-10.25%,24.41%,-0.42
14 OM,-30.25%,121.33%,-0.25,14 CERT,-23.28%,55.78%,-0.42
15 CNMD,-30.84%,36.06%,-0.86,15 XRAY,-31.69%,33.49%,-0.95
