Date,Group,n_stocks,group_aar,n_control_total,weight_in_control,contribution_to_control_aar,group_aar_pct,contribution_pct
2023-08-04,Control Big,8,-0.0027306258849195252,15,0.5333333333333333,-0.0014563338052904135,-0.27306258849195253,-0.14563338052904135
2023-08-04,Control Small,7,0.013102130137579273,15,0.4666666666666667,0.006114327397536994,1.3102130137579273,0.6114327397536994
2023-08-07,Control Big,8,-0.0017904501631815749,15,0.5333333333333333,-0.0009549067536968399,-0.1790450163181575,-0.09549067536968399
2023-08-07,Control Small,7,-0.021697927062201687,15,0.4666666666666667,-0.01012569929569412,-2.1697927062201687,-1.012569929569412
2023-08-08,Control Big,8,0.0101926111802929,15,0.5333333333333333,0.005436059296156213,1.0192611180292899,0.5436059296156214
2023-08-08,Control Small,7,-0.001970191701262229,15,0.4666666666666667,-0.0009194227939223735,-0.1970191701262229,-0.09194227939223736
2023-08-09,Control Big,8,0.004357477382542175,15,0.5333333333333333,0.0023239879373558267,0.43574773825421753,0.23239879373558267
2023-08-09,Control Small,7,-0.010099364444433743,15,0.4666666666666667,-0.0047130367407357465,-1.0099364444433743,-0.47130367407357465
2023-08-10,Control Big,8,-0.00750389188241665,15,0.5333333333333333,-0.004002075670622213,-0.750389188241665,-0.4002075670622213
2023-08-10,Control Small,7,-0.024174273298448557,15,0.4666666666666667,-0.011281327539275994,-2.417427329844856,-1.1281327539275994
